id,txt,long,colloq,headJoin,poemCount,url,ascii,issues,sample
1,/src/data/kannon100/001/原文001.txt,5,11,0,4,0,0,"COLLOQ_LINES","七寶浮圖塔 / 高峰頂上安 / 眾人皆仰望 / 莫作等閒看"
2,/src/data/kannon100/002/原文002.txt,3,11,0,4,0,0,"COLLOQ_LINES","月被浮雲翳 / 立事自昏迷 / 幸乞隂公祐 / 何慮不開眉"
3,/src/data/kannon100/003/原文003.txt,3,11,0,4,0,0,"COLLOQ_LINES","愁惱損忠良 / 青霄一炷香 / 雖然防小過 / 閑慮覺時長"
4,/src/data/kannon100/004/原文004.txt,2,11,0,4,0,0,"COLLOQ_LINES","累有興雲志 / 君恩祿未封 / 若逢侯手印 / 好事始總總"
5,/src/data/kannon100/005/原文005.txt,4,9,0,4,0,0,"COLLOQ_LINES","家道未能昌 / 危危保禍殃 / 暗雲侵月桂 / 佳人一炷香"
6,/src/data/kannon100/006/原文006.txt,3,12,0,4,0,0,"COLLOQ_LINES","宅墓鬼凶多 / 人事有爻訛 / 傷財防損失 / 祈福始中和"
7,/src/data/kannon100/007/原文007.txt,4,11,0,4,0,0,"COLLOQ_LINES","登舟待便風 / 月色暗朦朧 / 欲輾香輪去 / 高山千萬重"
8,/src/data/kannon100/008/原文008.txt,3,12,0,4,0,0,"COLLOQ_LINES","勿頭中見尾 / 文華須得理 / 禾刀自偶然 / 當遇非常喜"
9,/src/data/kannon100/009/原文009.txt,3,12,0,4,0,0,"COLLOQ_LINES","有名須得遇 / 三望一朝遷 / 貴人來指處 / 華菓應時鮮"
10,/src/data/kannon100/010/原文010.txt,3,11,0,4,0,0,"COLLOQ_LINES","舊用多成破 / 新更始見財 / 改求雲外望 / 枯木遇春開"
11,/src/data/kannon100/011/原文011.txt,2,12,0,4,0,0,"COLLOQ_LINES","有祿興家業 / 文華達帝都 / 雲中乘好箭 / 兼得貴人扶"
12,/src/data/kannon100/012/原文012.txt,3,12,0,4,0,0,"COLLOQ_LINES","楊柳遇春時 / 殘花發舊枝 / 重重霜雪裡 / 黃金色更輝"
13,/src/data/kannon100/013/原文013.txt,4,13,0,4,0,0,"COLLOQ_LINES","手把大陽輝 / 東君發舊枝 / 稼苗方欲秀 / 猶更上雲梯"
14,/src/data/kannon100/014/原文014.txt,3,12,0,4,0,0,"COLLOQ_LINES","玉石未分時 / 憂心轉更悲 / 前途通大道 / 花發應殘枝"
15,/src/data/kannon100/015/原文015.txt,4,11,0,4,0,0,"COLLOQ_LINES","年乖數亦孤 / 久病未能蘇 / 岸危舟未發 / 龍臥失明珠"
16,/src/data/kannon100/016/原文016.txt,3,12,0,4,0,0,"COLLOQ_LINES","破改重成望 / 前途喜亦寧 / 貴人相助處 / 祿馬照前程"
17,/src/data/kannon100/017/原文017.txt,5,11,0,4,0,0,"COLLOQ_LINES","怪異防憂惱 / 人宅見分離 / 惜華還值雨 / 杯酒惹閑非"
18,/src/data/kannon100/018/原文018.txt,2,12,0,4,0,0,"COLLOQ_LINES","離暗出明時 / 麻衣變綠衣 / 舊憂終是退 / 遇祿應交輝"
19,/src/data/kannon100/019/原文019.txt,4,13,0,4,0,0,"COLLOQ_LINES","家道生荊棘 / 兒孫防虎威 / 香前祈福厚 / 方得免分離"
20,/src/data/kannon100/020/原文020.txt,4,12,0,4,0,0,"COLLOQ_LINES","月出漸分明 / 家財每每興 / 何言先有滯 / 更變立功名"
21,/src/data/kannon100/021/原文021.txt,3,11,0,4,0,0,"COLLOQ_LINES","洗出經年否 / 光華得再清 / 所求終吉利 / 重日照前程"
22,/src/data/kannon100/022/原文022.txt,4,10,0,4,0,0,"COLLOQ_LINES","漸漸濃雲散 / 看看月再明 / 逢春華菓秀 / 雨過竹重青"
23,/src/data/kannon100/023/原文023.txt,3,12,0,4,0,0,"COLLOQ_LINES","紅雲隨步起 / 一箭中青霄 / 鹿行千里遠 / 爭知去路遙"
24,/src/data/kannon100/024/原文024.txt,4,12,0,4,0,0,"COLLOQ_LINES","三女莫相逢 / 盟言說未通 / 門裡心肝掛 / 縞素子重重"
25,/src/data/kannon100/025/原文025.txt,1,10,0,4,0,0,"COLLOQ_LINES","枯木逢春生 / 前途必利亨 / 亦得佳人箭 / 乘車祿自行"
26,/src/data/kannon100/026/原文026.txt,2,12,0,4,0,0,"COLLOQ_LINES","將軍有異聲 / 進兵萬里程 / 爭知臨敵處 / 道勝却虛名"
27,/src/data/kannon100/027/原文027.txt,4,12,0,4,0,0,"COLLOQ_LINES","望祿應重山 / 花紅喜悅顏 / 舉頭看皎月 / 漸出黑雲間"
28,/src/data/kannon100/028/原文028.txt,4,11,0,4,0,0,"COLLOQ_LINES","意速無船渡 / 波深必誤身 / 切須回舊路 / 方可免災"
29,/src/data/kannon100/029/原文029.txt,1,11,0,4,0,0,"COLLOQ_LINES","憂轗漸消融 / 求名得再通 / 寶財臨祿位 / 當遇主人公"
30,/src/data/kannon100/030/原文030.txt,5,12,0,4,0,0,"COLLOQ_LINES","仙鶴立高枝 / 防他暗箭虧 / 井畔剛刀利 / 戶內更防危"
31,/src/data/kannon100/031/原文031.txt,4,12,0,4,0,0,"COLLOQ_LINES","鯤鯨未變時 / 且守碧潭溪 / 風雲興巨浪 / 一息過天涯"
32,/src/data/kannon100/032/原文032.txt,4,10,0,4,0,0,"COLLOQ_LINES","似玉藏深石 / 休將故眼看 / 一朝良匠別 / 方見寶光寒"
33,/src/data/kannon100/033/原文033.txt,4,12,0,4,0,0,"COLLOQ_LINES","枯木逢春艷 / 芳菲再發林 / 雲間方見月 / 前遇貴人欽"
